factor(envID)8 factor(envID)18
14.6534 -13.07278
16.80614 -11.59303
14.89613 -13.00155
15.7227 -12.95592
14.17477 -13.49254
14.76469 -13.37043
12.80104 -14.57228
13.49758 -13.84789
13.73864 -15.58498
11.07771 -17.72732
10.75213 -17.05595
9.676798 -17.74139
9.574192 -19.75821
10.4124 -18.10427
10.06371 -18.05975
11.03901 -17.94891
10.86525 -17.67135
12.65986 -15.81756
12.21411 -15.50621
12.86736 -15.05144
12.61974 -15.40731
13.00575 -16.71696
12.34597 -16.41863
13.28994 -14.35634
13.17872 -14.78085
13.54954 -15.07758
13.30584 -14.12396
14.65068 -14.30285
13.57751 -15.44479
14.63633 -13.03814
15.87182 -12.85358
13.59744 -14.54145
14.11951 -15.2755
13.1732 -14.31994
12.6947 -16.11105
11.63702 -15.61542
12.35656 -16.18963
11.49205 -17.19059
11.73336 -15.96379
11.8141 -17.17439
13.80779 -15.17182
10.81362 -16.99992
10.50468 -17.28001
10.93197 -18.59123
11.03703 -16.39246
12.88679 -16.53231
13.30823 -14.52004
15.67184 -12.37297
16.08033 -12.82576
15.55244 -12.86108
16.82221 -11.81667
15.69102 -10.85666
16.23116 -12.10803
16.67394 -12.57221
17.99954 -10.77219
18.70342 -9.520184
19.38519 -8.973274
19.99952 -8.355349
19.6669 -9.399715
18.72168 -9.523232
18.78566 -9.743034
19.00521 -8.163718
20.52477 -7.344244
20.20193 -6.754074
22.13199 -5.168577
23.00827 -6.137329
22.71189 -5.789908
21.75441 -6.201895
22.03642 -6.449822
23.10408 -4.959172
23.70742 -5.626622
22.98087 -4.838714
24.28922 -3.84907
24.40936 -3.468335
21.62082 -6.194107
21.29253 -6.809455
20.77785 -7.421299
21.32989 -7.883934
22.17773 -6.579369
20.78974 -7.788785
21.67564 -7.530895
22.41186 -6.196111
22.72185 -6.170255
21.79426 -5.477198
24.01965 -4.983684
23.74163 -4.840521
22.35703 -5.835638
21.54198 -6.788924
20.84413 -6.867102
22.12151 -5.650268
21.63822 -6.273096
19.09265 -9.12596
18.03528 -9.966944
19.09364 -9.514672
18.32418 -10.25545
19.3201 -9.807534
20.66843 -6.991032
20.14119 -7.650126
20.21049 -8.459021
19.68206 -8.116739
21.18084 -7.160331
21.45601 -7.747103
22.63371 -7.020909
22.32648 -6.774538
20.60382 -7.634709
21.81184 -7.311986
21.52216 -7.949346
22.29003 -6.67687
20.62208 -6.615237
22.85359 -6.174603
20.51159 -6.591086
19.03687 -9.28315
16.96809 -10.90434
16.63145 -11.34891
17.19448 -11.47582
18.5619 -10.58102
18.65238 -9.855731
17.38356 -10.57264
18.34227 -9.884388
17.11359 -10.05971
18.47139 -9.575148
17.73835 -9.966251
19.2869 -8.841234
17.92985 -9.784435
17.61138 -10.18966
15.33024 -12.36084
17.45178 -10.80448
17.40809 -10.24689
16.97959 -12.58796
15.65971 -12.78771
16.37081 -12.02961
15.13985 -13.1499
16.16614 -11.82998
17.5459 -10.11154
19.78089 -9.744102
19.04716 -9.432805
18.57166 -9.47242
19.13895 -8.52128
20.68332 -7.899983
19.52889 -8.053856
18.72129 -8.516935
17.46206 -11.65546
16.94244 -11.00219
15.17915 -12.21362
15.47681 -13.49475
15.467 -12.44711
14.37706 -13.19873
12.93183 -15.54264
13.33482 -15.2895
13.26318 -15.10505
13.48156 -15.20733
14.25434 -14.11913
13.79492 -14.66987
14.90894 -12.84593
15.33856 -11.70162
15.22099 -13.16788
15.57586 -12.72643
14.84552 -13.87478
14.49447 -13.02862
14.50974 -14.54937
14.88134 -13.38678
13.58018 -13.5247
15.84956 -13.53581
14.05858 -15.12434
13.49751 -14.27371
11.71637 -16.06026
11.25128 -17.24704
10.74451 -18.29454
9.604855 -17.22164
11.50579 -18.60711
9.127971 -19.04101
9.748305 -19.08384
8.131119 -18.98105
8.8478 -19.26372
8.382391 -20.64101
10.16089 -18.13666
10.61058 -18.57957
11.12736 -18.05767
10.61919 -18.24129
10.52578 -18.27188
9.427357 -18.29142
8.980434 -19.1274
8.429146 -19.16507
8.479092 -19.76057
