factor(envID)5 factor(envID)6
-1.039579 0.01951654
-2.020001 -0.3732096
-2.274287 1.908536
-0.5919223 1.055242
-0.4496551 3.244686
0.4474779 3.26694
0.9071036 4.427086
0.1331847 2.936523
0.4092207 3.479196
-0.3281295 2.953331
-1.122285 1.733831
0.9589812 3.037812
0.4271401 4.101152
0.01770618 2.701858
0.3272345 2.04915
-0.0868968 2.165908
0.9388539 3.779486
0.200083 3.580342
0.04314951 1.990785
0.6413683 3.63061
-0.1308993 3.496128
1.150543 2.985021
1.08594 3.852504
1.088195 4.13401
0.5197135 2.695003
-0.0434138 2.801813
0.08903394 3.346176
-0.07258381 2.080444
0.7645681 3.152381
1.374667 3.775448
0.907406 3.27876
1.564707 3.875793
0.377657 3.58922
1.382475 4.802427
1.014491 4.1505
-0.120167 2.947808
0.695396 2.258092
-0.1103954 3.048821
0.1087247 3.076229
-0.7202663 1.519946
-1.377573 1.190872
-1.627908 0.1829508
-1.277413 0.4953598
-1.758616 -0.2126506
-1.637624 -0.5369511
-2.658672 0.1031683
-3.010736 -0.2853927
-1.490415 1.017077
-1.211902 1.916212
-0.4447581 2.517511
-0.1353793 1.7695
0.538124 1.653107
-0.422825 2.400731
-0.1605109 3.150023
0.1084009 3.007063
0.4864857 2.70468
0.9475593 3.2944
0.5655952 2.503925
0.4131932 3.416203
0.0834861 2.8676
-1.107981 1.550447
0.489073 3.148344
0.8893091 3.361891
1.388488 3.950429
1.239748 4.108603
1.868456 3.515958
1.272012 4.202656
0.74578 4.138803
0.6818044 3.665255
-1.071139 2.253286
-0.4248911 2.03626
-0.9463533 1.956192
-1.372931 1.214999
-1.698495 1.520132
-1.772678 1.310782
-1.90986 1.683918
-1.492918 0.6930903
-1.890881 0.3231366
-1.360664 1.367796
-0.880302 1.631966
-1.433264 1.873362
-0.5709578 2.632559
-0.9737704 1.596623
-1.162762 2.564615
-0.6822515 2.126357
-0.2118663 3.030674
-1.510559 0.7124689
-1.511839 0.4463073
-3.063959 -0.1097569
-2.058216 0.3144982
-2.385019 0.6770662
-4.385606 -0.1565706
-3.2472 -1.476456
-4.667789 -2.186916
-3.849995 -0.4408616
-4.941476 -2.680654
-5.270554 -2.446916
-5.825538 -2.561485
-6.398882 -3.868139
-6.753012 -3.282959
-6.887357 -4.585408
-8.353406 -4.709996
-6.483048 -3.660367
-7.606747 -4.467696
-6.101254 -4.461984
-7.804937 -5.737364
-7.34117 -5.804688
-7.773517 -4.253151
-7.702649 -5.975723
-8.627472 -6.030511
-9.72957 -7.416345
-9.81428 -8.018744
-10.50169 -8.513808
-13.69709 -10.2331
-13.37322 -10.63419
-13.96208 -9.405326
-12.86569 -9.555005
-12.16111 -10.28435
-11.7585 -8.618105
-10.99267 -8.084327
