factor(envID)8 factor(envID)18
9.458288 -9.510855
9.471257 -10.03681
9.291185 -10.46387
9.105988 -10.27724
9.144454 -10.21883
8.931563 -10.80676
9.034879 -10.52702
8.823587 -10.42494
9.295677 -10.59118
9.63483 -10.32759
9.369906 -10.30837
9.32063 -10.27232
9.594299 -9.98801
9.627065 -9.85786
9.808817 -9.83644
9.984963 -9.377503
10.01868 -9.352587
9.793678 -9.576284
9.996786 -9.142457
10.23134 -9.180835
10.15172 -9.481303
9.606817 -9.778497
9.763239 -9.624232
9.185308 -9.702626
9.44205 -9.929145
9.324211 -9.95012
9.393607 -9.866405
9.489442 -9.741259
9.925057 -9.679169
9.746639 -9.373313
10.28575 -9.134887
10.44909 -9.20411
10.63826 -8.786362
10.62099 -8.756053
10.16912 -9.184965
10.00834 -9.122108
9.888537 -9.255914
10.17193 -9.058299
9.708193 -9.624401
9.127337 -10.23631
9.161095 -10.29247
8.921886 -10.20067
8.801184 -10.50396
9.141827 -10.70577
8.723617 -10.41321
8.696799 -10.35406
8.730159 -10.72321
8.315382 -10.90068
8.226608 -11.0242
8.408495 -11.06918
8.117992 -11.15319
7.91144 -11.28997
7.991351 -11.36177
7.846701 -11.54967
7.864102 -11.44462
7.900112 -11.57174
7.976144 -11.54028
7.382944 -12.07272
7.616854 -11.86185
7.854132 -11.55258
8.079645 -11.18667
8.28875 -11.31118
8.252603 -11.46968
7.77172 -11.81654
7.815255 -11.91978
7.390768 -12.08038
6.900241 -12.15717
7.110744 -12.3612
7.186545 -12.26593
6.846762 -12.88443
6.504245 -12.88981
6.640106 -12.9672
6.739262 -12.74838
6.609903 -13.21574
6.783694 -12.8613
6.695952 -13.0484
6.506523 -12.65237
6.273411 -13.17457
6.118705 -13.26953
6.146479 -13.38172
6.433661 -12.89139
6.764113 -12.89013
6.783076 -12.72678
6.512317 -12.55677
6.823519 -12.68381
6.566405 -12.74892
6.777775 -12.65379
6.78699 -12.66819
6.840579 -12.942
6.629449 -12.75148
7.105079 -12.50292
6.774381 -12.5734
6.501912 -12.7906
6.871499 -12.53544
6.780164 -12.61733
7.009734 -12.34925
7.096802 -12.53391
6.819734 -12.90703
6.899012 -13.06003
6.572718 -12.98451
6.128944 -13.35409
6.171799 -13.39536
6.407154 -13.06762
6.696145 -12.70608
7.167151 -12.10054
7.233482 -12.17474
7.326447 -12.11228
7.472981 -12.15748
7.325784 -12.1844
7.294077 -11.90264
7.453572 -11.80111
7.312727 -11.57653
7.870698 -11.2651
7.739586 -11.55267
7.896319 -11.5491
7.894621 -11.45256
7.484813 -11.72215
7.163622 -11.99273
7.228414 -11.98893
7.51881 -11.72976
7.234991 -12.00778
7.15731 -12.16972
6.861808 -12.29316
6.415293 -12.56962
6.394883 -12.86293
6.311642 -12.99583
6.068618 -13.08721
6.506262 -12.9158
6.765883 -13.22
6.87231 -12.763
6.578794 -12.86563
6.875718 -12.79682
7.064221 -12.46956
6.856857 -12.6467
6.671878 -12.57023
6.883902 -12.38473
7.256258 -12.29768
7.241545 -12.06286
7.309622 -12.24263
7.249274 -12.07614
7.693798 -11.58837
7.715277 -11.51139
7.812103 -11.44755
8.210535 -11.21551
8.11608 -11.03418
8.421647 -11.05947
8.51716 -10.9899
8.844419 -10.53106
8.886521 -10.32984
8.991617 -10.54026
8.98498 -10.22536
9.048292 -10.07507
9.20763 -9.905455
9.646964 -9.796912
9.670972 -9.687907
9.622054 -9.7305
9.688194 -9.720292
9.731894 -9.455814
9.788272 -9.293327
9.663358 -9.498527
9.98144 -9.440349
10.21784 -9.283946
10.24777 -9.181735
10.39531 -8.870767
10.52562 -8.916561
10.45934 -9.006965
10.81038 -8.619409
10.39351 -8.960609
10.30889 -8.771808
10.29902 -9.014072
10.06935 -9.230343
9.918309 -8.83225
10.18349 -8.941358
10.22503 -9.121534
10.38843 -8.572231
10.63044 -8.722198
10.86777 -8.489739
10.7652 -8.555097
10.13026 -8.933404
9.911563 -9.064361
9.800315 -9.016857
9.828037 -9.053655
9.984807 -8.904635
10.09729 -8.850398
9.833089 -9.162236
9.989812 -9.015454
10.48109 -8.834556
10.74741 -8.656689
11.01223 -8.350433
10.88346 -8.437864
10.83949 -8.455021
11.14825 -8.528806
11.16893 -8.018464
10.8045 -8.292266
11.02088 -8.094148
10.73701 -8.600502
10.59068 -8.393349
11.13405 -8.159736
11.12365 -7.893081
11.1036 -8.057501
11.42158 -7.620486
11.6374 -7.692041
12.02168 -7.264002
12.09084 -7.240067
11.85033 -7.300962
12.09992 -7.404864
12.04409 -7.001165
12.36178 -6.760466
12.31464 -7.029912
12.34565 -6.816405
13.00796 -6.635823
13.18415 -6.011774
13.24456 -5.913069
13.40971 -5.857562
13.61231 -5.409807
13.94628 -5.343416
14.17891 -5.432725
14.3997 -4.905084
14.50525 -4.87029
14.52803 -4.834178
15.10784 -4.503703
14.87549 -4.307761
14.96249 -4.384395
14.99686 -4.104523
14.5863 -4.66601
14.6824 -4.281595
14.78445 -4.345692
14.88782 -4.57157
14.6229 -4.56459
14.34297 -5.095704
14.1526 -5.361425
13.80787 -5.321851
13.82253 -5.750869
13.74516 -5.550496
13.76836 -5.824185
13.65468 -5.640713
13.55191 -5.713607
13.36612 -5.8042
12.98066 -6.225985
12.6092 -6.655418
12.59422 -6.643245
12.39537 -6.863243
12.12421 -7.047415
12.04978 -7.108104
12.25941 -7.063434
12.56164 -6.610201
12.7434 -6.884651
12.22749 -7.034181
11.86288 -7.398253
11.8311 -7.476263
11.88688 -7.447594
11.53931 -7.788492
11.4397 -7.782103
11.36994 -7.891849
10.79708 -8.52701
10.67226 -8.615421
10.68339 -8.955279
10.89874 -8.66142
10.73465 -9.08358
10.5113 -8.794228
10.82028 -8.502649
10.82921 -8.4795
10.54187 -8.671606
10.89364 -8.667649
10.98014 -8.54592
10.59866 -8.679481
10.43858 -8.942321
10.38782 -8.996003
10.40531 -8.981501
10.483 -8.943061
10.28933 -9.138954
10.09903 -9.23567
10.07384 -9.364563
10.15749 -9.105873
9.869934 -9.288602
10.20311 -9.040295
10.4999 -8.904724
10.29317 -9.013568
9.883682 -9.385143
9.672186 -9.361603
9.992647 -9.284788
9.519663 -9.65476
9.587237 -9.941455
