factor(envID)17 factor(envID)18
0.03914376 0.01166332
0.03015851 0.02856137
-0.0108268 -0.008202035
-0.001490063 -0.02709381
0.003496915 -0.007404764
-0.007884367 -0.03744689
-0.03910978 -0.04461266
-0.03105657 -0.05683211
-0.05204859 -0.05296747
-0.0422875 -0.06007431
-0.02164105 -0.05736698
0.006601806 -0.02619503
-0.005765802 -0.0286059
0.01051704 -0.008070358
0.0216321 -0.01418592
0.001117322 -0.02973076
0.01039461 -0.0185597
0.006488639 -0.0005775402
0.01137638 -0.0307817
0.009922492 0.0192074
0.04945362 0.01558699
0.05884669 0.04836209
0.0742717 0.05996396
0.0605179 0.04529286
0.1145627 0.07893604
0.1247976 0.1042111
0.1666947 0.1352349
0.158739 0.1233359
0.1280016 0.1032395
0.1501842 0.1242733
0.2058903 0.1665482
0.1882206 0.1645863
0.1815745 0.1601671
0.2408035 0.217709
0.2711205 0.2481612
0.2735129 0.2196376
0.3063308 0.2647079
0.277637 0.25958
0.293963 0.2449508
0.2668452 0.2358957
0.2669152 0.2383037
0.2643542 0.2488697
0.2544194 0.2218833
0.2823432 0.2448087
0.2971483 0.2566376
0.2912144 0.278368
0.2669193 0.2562548
0.2880091 0.246213
0.2916473 0.2723543
0.3110781 0.2788362
0.2666713 0.2597794
0.2525923 0.2297259
0.2392047 0.1999836
0.2475867 0.2519861
0.2729728 0.2546028
0.2735384 0.2524511
0.307798 0.27268
0.2717357 0.2676766
0.2665782 0.2666118
0.3003421 0.2673181
0.3328879 0.3203314
0.3367026 0.3367121
0.3546741 0.3476911
0.3615081 0.339162
0.3507067 0.3304976
0.3365974 0.3166059
0.326163 0.3034668
0.2864891 0.2288281
0.2652783 0.241059
0.2677728 0.2459658
0.2375843 0.2251717
0.2237562 0.2042564
0.2433185 0.2130181
0.2016883 0.2104373
0.2486723 0.2131385
0.267293 0.2677434
0.2157462 0.2312543
0.2010784 0.194682
0.1732483 0.1431491
0.170184 0.1587052
0.2013591 0.1944573
0.2074175 0.2019518
0.2072212 0.1934772
0.2006247 0.1909667
0.2110692 0.1848338
0.2089336 0.1807908
0.2080915 0.1972737
0.1561404 0.1324043
0.1940563 0.1581738
0.2054861 0.1834232
0.2219277 0.210163
0.2107694 0.1737042
0.2364746 0.1919049
0.2168984 0.2064583
0.1901006 0.1824464
0.2207458 0.2235453
0.2504508 0.2201071
0.2567291 0.250302
0.2376249 0.2315821
0.2497413 0.2331744
0.2876777 0.2281248
0.2831768 0.2339465
0.2267635 0.2204393
0.1907872 0.1580079
0.1866286 0.1640086
0.1996765 0.1774731
0.226151 0.1989541
0.213349 0.1869466
0.1817383 0.1890152
0.201019 0.1915308
0.2208277 0.1870679
0.2143313 0.2186392
0.2114244 0.1820058
0.1966877 0.1849945
0.2168922 0.1999112
0.2024956 0.1711219
0.1690508 0.1750603
0.1611856 0.1352237
0.1815669 0.1856002
0.1990993 0.1706693
0.1965034 0.1960099
0.2017684 0.2005554
0.1767042 0.1811306
0.1942132 0.1847485
0.2421007 0.2036095
0.2307961 0.2202386
0.2172629 0.1811571
0.209898 0.1808243
0.2108339 0.1803569
0.2212056 0.2022436
0.2325254 0.2055189
0.2213748 0.1881548
0.1895471 0.1622307
0.2060167 0.1758715
0.2226168 0.1724864
0.2004397 0.1987522
0.2288093 0.2235814
0.2309902 0.2040366
0.1781541 0.1709901
0.2038207 0.1781887
0.2143268 0.195028
0.2189394 0.2042998
0.2308182 0.1829225
0.203556 0.1687265
0.2003205 0.1684201
0.1828692 0.1533729
0.1906913 0.1566763
0.1717209 0.1639976
0.1820177 0.147821
0.1669467 0.1486333
0.1298225 0.1284562
0.1203217 0.1122095
0.1494677 0.1323216
0.1318186 0.1331881
0.1498343 0.1185168
0.1951103 0.1767713
0.2098104 0.1509554
0.2078736 0.1592986
0.227159 0.199593
0.2275268 0.1950871
0.2295145 0.1948557
0.2195812 0.2102624
0.2235063 0.2131696
0.2384039 0.2259388
0.2632675 0.2352801
0.2537161 0.2440556
0.2468213 0.2373641
0.2455226 0.2005033
0.2092107 0.1923009
0.206208 0.2163752
0.2736676 0.2605591
0.2629983 0.251171
0.2940108 0.2724578
0.2906021 0.2629374
0.341325 0.3159031
0.3282405 0.3107394
0.3180407 0.2906474
0.310588 0.3009703
0.3058223 0.2784086
0.2842263 0.2632062
0.2491464 0.2426304
0.2689691 0.2441108
0.2597032 0.2748644
0.2533536 0.2411592
0.2663595 0.2309129
0.32569 0.3221729
0.3349898 0.3285678
0.354544 0.3484165
0.361643 0.3279512
0.319495 0.3086144
0.3245405 0.2986193
0.3222985 0.3053048
0.3298035 0.3079001
0.3047299 0.2894736
0.3498143 0.3146336
0.3744802 0.3486937
0.4019194 0.3709937
0.4193319 0.3995887
0.4120784 0.4036223
0.4322933 0.4269278
0.5150057 0.4820702
0.5088813 0.4939636
0.4911761 0.4777448
0.4845085 0.4580918
0.4848837 0.4609809
0.4679083 0.4545325
0.5108016 0.5010327
0.4906047 0.4812082
0.5373181 0.5330009
0.5684726 0.5286966
0.5750036 0.5559797
0.5819499 0.5376844
0.5646373 0.5396158
0.5503982 0.5401563
0.5583325 0.5204874
0.5265228 0.5085323
0.509101 0.4761726
0.5274313 0.5159142
0.5410581 0.5388425
0.5672241 0.5520339
0.5783354 0.5563217
0.6042472 0.5870544
0.6207048 0.5818965
0.6095139 0.5941384
0.5844973 0.5923697
0.5708275 0.5494015
0.5689657 0.5472586
0.5470758 0.559494
0.5268651 0.5132079
0.5295055 0.5097121
0.5153058 0.5263442
0.5596814 0.5414845
0.5313786 0.5045628
0.5338452 0.5214262
0.5506736 0.5350029
0.5313536 0.5156315
0.5269704 0.5258254
0.5135834 0.5052441
0.444054 0.427781
0.4308688 0.4325249
0.447273 0.4771515
0.4632502 0.4448084
0.4724421 0.4611177
0.4827851 0.4491526
0.4268838 0.4368158
0.428624 0.397124
0.3709249 0.3573764
0.3991224 0.3551213
0.3698253 0.3468604
0.3453808 0.3331314
0.288723 0.2974257
0.3017161 0.2805393
0.2972565 0.2881945
0.286533 0.2674556
0.2896131 0.2413955
0.272108 0.260994
0.2696286 0.2437075
0.2994274 0.2433281
0.2485325 0.2385294
0.2465986 0.2337134
0.2320451 0.2234404
0.2830849 0.2492286
0.2724868 0.2374871
0.247384 0.2306651
0.2648017 0.2589239
0.2880293 0.2674531
0.2892541 0.2637758
0.2312147 0.1972604
0.2475478 0.2343955
0.2336198 0.2381708
0.2149714 0.2257527
0.215443 0.2026697
0.2460504 0.2468749
0.263467 0.2538847
0.2511269 0.2181708
0.2305688 0.2337685
0.2512446 0.2375164
0.2865409 0.2832225
0.300551 0.2921634
0.2810969 0.2606502
0.2831334 0.2423278
0.3042777 0.279086
0.3190199 0.2916175
0.3372832 0.3099174
0.3648477 0.3221336
0.3499515 0.3455372
0.3324973 0.3234328
0.3180949 0.3219039
0.3042622 0.2833488
0.2687827 0.2634195
0.2473577 0.2235959
0.2137561 0.1858676
0.2297842 0.2205639
0.2157935 0.1932871
0.2251474 0.2048511
0.19091 0.1857553
0.2082995 0.1812955
0.1745088 0.1694825
0.2197111 0.1871068
0.2347505 0.2128076
0.2331873 0.2301152
0.2182432 0.2270372
0.2337651 0.1928643
0.2010273 0.1957162
0.2367816 0.2260468
0.2387282 0.1950316
0.2380396 0.2035339
0.2546958 0.2508479
0.2815278 0.230313
0.2526471 0.2156832
0.2787544 0.268569
0.2887766 0.2675647
0.3217809 0.2998569
0.3104164 0.2811008
0.2915897 0.2627491
0.2815937 0.2278539
0.247041 0.2312948
0.2195694 0.2011148
0.1978471 0.1796097
0.1982445 0.1913015
0.191177 0.1628976
0.1703171 0.1558018
0.1111625 0.09790271
0.09505956 0.09303351
0.08953526 0.08737995
0.09338284 0.06775012
0.1037138 0.06891196
0.08333192 0.08425491
0.0961171 0.0784225
0.07751741 0.08073102
0.08923169 0.04708524
0.1001774 0.07811642
0.1122835 0.1055596
0.09895096 0.1071495
0.1183706 0.07423421
0.1193683 0.08898785
0.1271076 0.08943431
0.1301189 0.103557
0.1114381 0.0962454
0.1295967 0.1089656
0.1278762 0.1060718
0.08733068 0.06444867
0.09160065 0.0699112
0.08234899 0.05023608
0.03277822 0.03204724
0.02741156 0.03525118
0.02265043 0.01166252
-0.002835651 -0.02366141
-0.02064335 -0.04088287
-0.008154391 -0.02758813
0.02885338 0.01003677
0.02305675 0.01441277
0.01243284 -0.003294961
0.03021402 0.02804496
0.05070775 0.03857629
0.03224847 0.0226807
0.06050583 0.06523052
0.08774617 0.08136122
0.1175031 0.09467833
0.1238974 0.1344812
0.1536714 0.1419227
0.1075527 0.1043021
0.1204259 0.1112457
0.1360052 0.1120492
0.1306613 0.1118247
0.156786 0.140127
0.1698957 0.150421
0.1055975 0.0793455
0.1337504 0.1218792
0.1141751 0.1140705
0.1200182 0.1340781
0.144238 0.1265759
0.1576751 0.1130719
0.1302824 0.1327417
0.098056 0.1180784
0.1273018 0.09176296
0.1158636 0.08992158
0.1244774 0.08542561
0.1016453 0.08036761
0.1240274 0.09440049
0.09302467 0.08861092
0.09833539 0.08153825
0.09022436 0.06446582
0.07434144 0.03759889
0.02066303 0.02105172
0.04692935 0.02024034
0.06848848 0.03308019
0.04481234 0.032593
0.04031174 0.0002058097
0.02770723 0.01169881
0.05300717 0.04628406
0.06630084 0.03970518
0.02467934 0.01481411
0.04216669 0.0249858
0.02158502 0.005332322
0.02045476 0.005179275
0.01856753 0.0148373
-0.02875303 -0.03913613
-0.05864513 -0.05983404
0.0008699663 -0.05774012
-0.05940219 -0.08342079
-0.04109987 -0.07290296
-0.05286642 -0.07332749
-0.04527944 -0.08123307
-0.04011414 -0.09364296
-0.07399229 -0.08605217
-0.07916272 -0.1145822
-0.055371 -0.09848115
-0.051849 -0.04616282
-0.05320138 -0.06846576
-0.0791455 -0.1123741
-0.1486418 -0.1523699
-0.1492007 -0.1694194
-0.1353517 -0.1484448
-0.1422815 -0.1834823
-0.1371305 -0.1631869
-0.1436553 -0.1571351
-0.09352777 -0.1084102
-0.08216984 -0.1083019
-0.04478644 -0.07193349
-0.01735569 -0.03806486
0.001137788 -0.02210827
-0.0238457 -0.03176789
-0.01889224 -0.06017097
-0.02547621 -0.03013058
0.00929862 -0.01038214
-0.01310066 -0.01230877
-0.03763084 -0.05631147
-0.01416682 -0.05644773
-0.0531893 -0.05217084
-0.02575319 -0.06212373
-0.03999318 -0.06750339
-0.02194955 -0.03185734
-0.01823835 -0.04602999
-0.0464695 -0.06119282
-0.03045766 -0.0514302
-0.05960461 -0.07720075
-0.1024884 -0.1065014
-0.1098319 -0.1061176
-0.1100019 -0.1253779
-0.07963226 -0.08389333
-0.08575069 -0.1053471
-0.07538506 -0.06320952
-0.02864061 -0.05136599
-0.02933954 -0.05228006
-0.01125834 -0.0349074
-0.01605039 -0.03106753
-0.008822441 -0.004201024
-0.01673557 -0.03070163
-0.005036296 -0.008946023
0.02261087 -0.01703727
0.05014455 0.02294984
0.1003142 0.05485228
0.1073621 0.07709885
0.1044277 0.09405206
0.1149868 0.08710265
0.1342098 0.1069596
0.155991 0.1387723
0.127833 0.1136542
0.1196503 0.1045117
0.1184681 0.1221989
0.09266373 0.0767446
0.09720603 0.07867416
0.1128859 0.1020583
0.1363431 0.0876
0.1337796 0.1257422
0.1304693 0.1176405
0.1531526 0.1415539
