factor(envID)5 factor(envID)6
-0.9671971 3.326238
0.1175095 2.720849
1.226497 3.282554
0.1266693 3.174502
1.295294 3.615603
0.7463711 3.59239
3.296164 6.018857
5.668156 6.647897
7.063489 9.945022
7.413643 10.98891
6.53689 9.314411
7.903928 11.18829
9.220468 12.323
10.56131 12.96729
9.422504 12.23139
8.133533 10.12958
9.437456 12.20411
10.10527 12.79053
11.09832 14.50585
11.19966 13.30901
10.46057 13.54759
10.70631 13.37314
9.518703 13.17472
9.971752 12.42168
10.7693 13.94684
11.12526 14.59994
11.95054 14.26855
10.9282 13.3239
11.07216 14.09998
11.74636 14.46275
12.0239 14.78188
12.01867 14.78032
11.08693 14.79033
10.06177 13.16404
10.92196 12.98709
9.959934 12.90441
13.07325 15.35037
13.49182 17.03865
15.10528 17.04046
15.5333 17.24336
14.299 17.08462
14.9219 16.93588
15.74482 18.9805
16.73152 18.76848
17.45163 19.86562
18.8817 21.18567
18.71255 21.25127
19.35899 22.00786
20.35963 22.36096
18.66557 22.51811
19.1957 22.09375
20.03666 21.6898
19.23483 21.60267
18.27067 20.08145
18.1738 20.46524
18.26156 20.88741
19.7454 22.08136
19.8636 22.45116
19.09655 21.49754
21.44336 22.81322
19.77225 23.0721
22.10518 25.18859
22.24827 25.92914
22.91767 25.17767
24.47838 27.29682
25.00573 26.46137
25.84556 28.45282
25.3197 27.79352
25.49374 27.90968
25.30709 29.37683
26.76432 27.92081
26.19021 27.85679
26.17232 28.44875
24.86644 27.84039
24.31946 28.02054
23.67034 27.38406
24.50317 25.83316
24.31241 26.78011
24.1139 26.99217
23.41419 26.95406
23.44973 25.82692
23.78313 25.78443
22.90257 24.90725
21.55081 24.40037
20.83305 23.00934
21.91473 24.46387
23.46081 25.06332
22.93244 26.02398
21.59432 25.28588
21.77351 24.80333
20.90536 24.13421
19.93359 22.59333
18.19914 19.56192
18.50461 21.41654
18.72783 22.05057
18.02116 22.39301
17.08735 20.50474
16.16409 19.12381
15.45775 18.58991
17.24412 19.15421
19.04678 21.58731
20.36905 22.56848
20.37425 22.30139
19.31556 20.58167
18.32484 21.08815
18.02204 20.29779
18.36326 21.64993
16.95833 19.66074
16.81484 18.71571
16.65573 18.94907
16.32184 20.13813
16.31692 18.84435
16.60436 19.37867
16.7382 19.4785
17.09506 19.3711
16.7462 19.95493
15.92219 17.6775
15.9067 18.86162
14.66626 17.45832
14.88745 17.07525
15.23732 17.99713
15.23984 17.90544
15.67254 18.30539
15.73025 17.54815
15.34293 18.75323
14.68091 17.61812
15.31873 17.55097
16.06371 18.49354
15.14115 18.38471
15.05676 18.11183
13.02472 16.08175
13.32699 15.55693
12.60815 16.54175
12.49892 14.83403
12.77857 14.4509
11.8172 15.40613
12.01219 15.60775
12.15777 13.96878
11.05678 14.53999
12.13217 14.18693
12.13887 14.03382
11.44642 14.28735
10.87677 13.48778
12.14996 15.23809
9.706678 12.65184
9.357127 12.26731
10.06001 13.01796
9.888521 13.12256
11.94833 14.5642
11.51492 14.04751
12.69865 15.21478
12.16775 15.50535
12.63053 14.66307
10.46742 13.57969
10.76137 14.24251
11.35716 13.86685
12.01493 15.42894
12.84569 15.3848
12.96564 15.82152
13.35171 16.27284
13.29773 15.39813
11.20818 13.97064
11.60458 14.31679
10.73693 13.61999
10.27057 13.53274
10.65201 13.79247
10.89324 12.20246
11.7976 14.84209
12.71806 15.46279
13.68236 17.36678
13.82712 15.87643
13.85631 16.0869
14.08784 15.9303
12.65589 15.39229
12.20715 15.2892
10.90458 13.74329
12.51928 15.13135
13.06924 16.08727
13.87539 15.61495
13.36705 15.93629
14.91297 17.43043
13.37785 17.26573
15.38188 18.39359
14.89239 17.0207
13.74654 16.28339
12.09155 16.08751
13.68723 15.74127
13.53597 15.91658
13.97419 16.75143
14.27914 16.85124
13.99195 15.90821
12.76857 16.05214
13.31638 16.09383
13.60853 15.51378
13.37852 16.48822
12.07004 15.72127
12.67 15.84099
12.81869 16.75839
13.47871 16.35851
14.16312 17.32877
11.33322 13.91748
10.69028 12.85351
10.35338 13.35811
9.120874 12.30771
9.528281 11.63835
10.4789 13.12817
9.893272 13.54338
10.63303 13.96945
9.422849 12.41661
9.663304 11.58615
8.609985 11.82458
8.687754 11.74794
9.568552 12.72872
9.526381 12.69577
9.447389 11.96122
8.524809 10.96677
9.487182 11.48239
