GEN	R18	R19	R20	AUDPC	LP50	IF	IT	DS	R18t	R19t	R20t	I_cc_FAI_LP	I_cc_FAI	I_cc_SH
1	16.05	12.66	40.68	12.00	0.97	6.58	3.86	0.25	0.262434898	0.231595101	0.44033627	1.189	1.019	554.390
1149	9.39	10.81	35.47	8.46	0.97	4.71	3.39	0.19	0.198267093	0.213328822	0.40616074	1.279	0.574	457.028
1174	14.05	22.42	45.17	13.79	0.96	7.00	3.88	0.29	0.244569128	0.313999127	0.469189203	0.861	1.110	595.180
1258	9.59	8.65	14.47	11.53	0.96	5.75	3.86	0.25	0.200424802	0.190021265	0.248379748	0.744	0.928	533.271
26	11.54	15.39	44.55	13.22	0.97	7.05	3.75	0.28	0.22063343	0.256652639	0.465245459	1.030	1.102	583.499
49	8.19	13.67	17.39	7.65	0.97	4.12	3.77	0.18	0.184743667	0.241079433	0.273853481	1.332	0.642	463.802
496	11.04	10.08	6.05	12.63	0.96	7.69	3.87	0.27	0.215652484	0.2057258	0.158149865	0.904	1.030	566.862
743	10.69	10.28	16.51	13.71	0.96	7.34	3.91	0.28	0.212008611	0.207733762	0.266386193	0.926	1.154	598.912
942	14.72	10.73	5.88	14.07	0.97	7.40	3.91	0.30	0.2507027	0.212503508	0.155924302	0.940	1.082	599.432
1060a	9.91	9.97	4.35	13.66	0.96	6.92	3.92	0.28	0.203847993	0.204476676	0.133826904	0.732	1.021	573.953
1119	11.56	9.95	10.03	7.40	0.96	3.93	3.76	0.17	0.220810768	0.204352341	0.205201281	0.832	0.632	455.237
1135	11.64	6.27	29.93	9.99	0.97	5.24	3.75	0.21	0.221691339	0.161185307	0.368548029	1.065	0.784	496.469
3	11.19	15.50	6.18	16.86	0.97	9.18	3.90	0.36	0.217137016	0.25756672	0.159971422	0.970	1.288	694.534
1157	11.51	7.53	6.49	10.95	0.97	6.31	3.75	0.23	0.22031217	0.177003549	0.1639415	1.401	0.931	527.661
1175	9.55	8.52	20.71	10.29	0.97	5.66	3.53	0.21	0.200004569	0.188623076	0.300754984	1.172	0.638	481.644
1477	16.26	14.93	34.00	11.39	0.96	5.85	3.86	0.25	0.26420678	0.252546227	0.396291866	0.834	0.873	527.032
27	8.19	16.72	5.02	13.14	0.97	7.14	3.91	0.27	0.184772215	0.268205902	0.143849626	1.042	1.138	589.190
64	11.32	17.09	42.09	14.54	0.97	7.74	3.91	0.31	0.218466044	0.271345822	0.449399828	0.954	1.166	620.647
505	12.89	26.58	19.85	12.10	0.97	6.43	3.92	0.25	0.233811516	0.344854498	0.293978935	0.993	1.055	558.725
760	10.18	26.05	6.58	9.69	0.96	5.10	3.69	0.21	0.206748037	0.341027527	0.16514799	0.992	0.839	495.709
944	11.71	9.63	57.02	11.33	0.97	5.98	3.81	0.25	0.222351862	0.200889356	0.544823842	0.976	1.024	548.126
1060b	9.91	9.12	22.81	10.00	0.96	5.19	3.75	0.21	0.203926198	0.195276533	0.316993273	0.898	0.773	493.764
1121	12.50	14.25	26.23	12.58	0.96	6.49	3.92	0.26	0.23001003	0.246404645	0.342294437	0.686	1.016	558.121
1136	9.54	10.07	45.85	11.89	0.96	6.20	3.48	0.25	0.19987415	0.205608212	0.473552873	0.948	0.816	519.461
20	9.00	9.18	47.32	14.43	0.97	7.76	3.81	0.33	0.193985919	0.195963078	0.482957197	1.036	1.281	666.616
1158	15.31	8.86	52.00	9.88	0.97	5.23	3.46	0.21	0.255960208	0.192414833	0.512762594	1.165	0.795	493.573
1176	10.42	16.53	34.11	11.84	0.97	6.52	3.94	0.25	0.2092451	0.26651227	0.397056445	1.184	1.045	560.375
1556	15.59	16.14	12.83	13.59	0.96	7.07	3.91	0.29	0.258424107	0.263223652	0.23317748	0.916	1.127	595.764
28	10.58	10.68	11.12	9.51	0.97	5.04	3.56	0.21	0.210927805	0.211923316	0.216448209	1.194	0.744	488.128
223	9.98	8.84	5.61	12.06	0.96	6.24	3.88	0.26	0.204616544	0.192230415	0.15226753	0.903	1.069	566.268
701	13.66	6.85	36.40	10.83	0.97	5.90	3.74	0.23	0.240967575	0.168597853	0.412300692	1.192	0.862	513.414
792	8.10	10.15	2.21	11.22	0.97	5.94	3.74	0.23	0.18366803	0.20639076	0.094894017	0.970	0.852	516.486
952	17.43	22.09	52.79	11.99	0.96	6.12	3.91	0.25	0.274204044	0.311527954	0.517802117	0.767	1.000	544.109
1063	10.72	25.74	12.26	14.06	0.97	7.27	3.91	0.30	0.212380069	0.3387197	0.227774583	0.966	1.125	609.479
1123	12.88	9.92	45.17	9.40	0.97	5.04	3.74	0.20	0.233721727	0.2039297	0.469192172	1.084	0.668	475.813
1137	11.33	10.92	39.31	12.31	0.97	6.75	3.43	0.26	0.218570734	0.214435517	0.431442206	1.357	0.827	531.241
22	11.69	14.80	11.53	13.01	0.97	6.99	3.92	0.27	0.222171727	0.251439172	0.220539959	1.007	1.097	580.744
1160	11.09	10.63	14.01	10.53	0.96	6.12	3.71	0.23	0.216134489	0.21144321	0.244199029	0.883	1.006	529.184
1184	12.22	20.91	8.46	11.84	0.96	6.13	3.75	0.25	0.227346642	0.302337783	0.187898502	0.834	1.023	546.476
1564	16.32	40.51	5.70	17.43	0.96	9.03	3.88	0.39	0.264747646	0.439238714	0.153458365	0.817	1.368	736.004
30	13.47	29.67	52.46	9.45	0.97	5.12	3.95	0.21	0.239279444	0.36672105	0.5156947	1.198	0.964	519.020
264	8.87	18.13	56.97	12.11	0.97	6.46	3.91	0.26	0.19257335	0.280045863	0.544515297	0.964	1.012	558.184
702	9.42	6.88	5.15	12.02	0.96	6.13	3.75	0.26	0.198620946	0.168973749	0.145749856	0.855	0.952	546.291
797	8.77	29.45	29.20	13.15	0.97	7.06	3.91	0.27	0.191375482	0.365161712	0.363416821	0.969	1.049	572.255
961	13.82	6.98	41.66	10.38	0.96	5.41	3.65	0.21	0.242479216	0.170249623	0.446639601	0.930	0.852	502.305
1066	10.32	12.49	7.63	16.72	0.96	8.51	3.91	0.37	0.208227902	0.229922286	0.178129447	0.775	1.275	703.822
1125	8.24	11.33	30.15	9.49	0.97	5.27	3.78	0.20	0.185368876	0.21850599	0.370059196	1.250	0.946	507.049
1138	13.82	6.08	29.52	10.05	0.96	5.24	3.39	0.21	0.242496664	0.158630092	0.365677772	1.003	0.750	487.455
23	9.66	10.48	6.66	14.53	0.97	7.77	3.91	0.31	0.201149353	0.209881495	0.166123632	0.902	1.128	615.807
1167	8.80	8.11	9.84	10.38	0.97	5.54	3.72	0.22	0.191779841	0.183881393	0.203082839	1.076	0.898	510.200
1186	9.59	12.12	11.37	11.82	0.96	6.01	3.93	0.24	0.20039153	0.226417685	0.21897313	0.757	1.036	545.526
1580	10.02	21.70	5.04	20.28	0.96	10.46	3.94	0.45	0.205039789	0.308496616	0.144100285	0.700	1.548	829.231
32	12.46	15.07	6.47	10.67	0.97	5.61	3.64	0.22	0.229640875	0.253797986	0.163780378	1.052	0.816	502.561
265	9.92	11.90	7.82	16.19	0.96	7.52	3.94	0.34	0.203946061	0.224262664	0.180478842	0.872	1.225	663.498
728	14.26	18.68	58.93	10.89	0.97	5.91	3.92	0.23	0.246523429	0.284494749	0.557126399	1.041	0.990	529.809
798	10.56	12.37	4.16	12.52	0.96	6.57	3.90	0.26	0.210746623	0.228805431	0.130799053	0.823	0.962	551.414
1043	11.07	12.10	20.53	9.25	0.96	4.76	3.82	0.19	0.215924998	0.22619828	0.299356135	0.751	0.729	477.668
1069	9.41	15.24	9.29	11.97	0.96	6.12	3.92	0.25	0.198436911	0.255357342	0.197130652	0.736	1.050	551.522
1128	12.27	9.60	45.52	6.71	0.97	3.71	3.78	0.16	0.227871517	0.200563336	0.47146981	1.104	0.666	454.586
1140	11.14	15.21	11.57	10.83	0.96	5.73	3.47	0.23	0.21665018	0.255060784	0.220965005	1.020	0.853	510.934
24a	8.32	12.33	9.97	12.85	0.96	6.60	3.92	0.28	0.186236548	0.228394964	0.204504355	0.876	1.022	571.441
1168	10.34	13.01	22.70	9.82	0.97	5.55	3.37	0.21	0.208393741	0.234965886	0.316131848	1.456	0.644	480.422
1189	10.34	10.62	4.36	9.71	0.97	5.42	3.44	0.20	0.208410314	0.211303022	0.133891265	1.420	0.650	477.949
