factor(envID)3 factor(envID)5
0.5229709 -0.122544
0.09111031 -0.02921354
0.2692236 -0.1553108
0.01147168 -0.3015338
-0.1013632 -0.7578751
-0.1464605 -0.8685564
-0.2052454 -0.8351267
-0.3064933 -0.7888082
-0.1820529 -0.7975917
-0.3406045 -0.9387436
-0.2576159 -0.7411245
-0.1368394 -0.7488335
-0.2046281 -0.8862718
-0.007562069 -0.2674665
-0.31905 -1.063982
0.167233 -0.8384215
-0.01078872 -0.6220237
0.3226112 -0.2298441
0.2285166 -0.1254627
-0.0232562 -0.4027957
-0.0248161 -0.6132318
-0.1955737 -0.9072852
0.1803507 -0.1789836
0.157491 -0.2884161
0.02128753 -0.3951195
0.2671964 -0.1798201
0.4595252 -0.2786972
0.1390847 -0.3098121
-0.4234391 -1.174678
-0.9970076 -1.726409
-0.6876592 -1.254246
-0.9463872 -1.247782
-0.9527137 -1.432172
-0.7259324 -1.301279
-0.7581373 -1.494308
-0.823206 -1.356059
-0.5320685 -1.163266
-0.3814194 -0.9951618
-0.477908 -0.8907311
-0.3877943 -0.622504
-0.6550176 -1.018038
-0.3812869 -0.9137065
-0.5057252 -1.337433
-0.4076699 -1.163726
-1.047268 -1.436362
-1.174557 -1.764681
-1.689991 -2.10825
-1.744072 -2.133437
-1.953096 -2.751443
-2.000168 -2.798426
-2.01755 -2.711652
-1.99747 -2.535378
-1.618018 -1.750537
-1.313006 -1.70272
-1.285804 -1.712019
-1.217314 -1.301807
-1.090157 -1.816007
-1.248187 -1.567594
-1.544761 -2.109002
-1.626517 -2.607759
-1.974291 -2.448532
-1.745841 -2.046201
-2.008858 -2.147897
-2.360626 -2.577277
-2.165407 -2.008571
-2.424455 -2.593011
-2.416342 -2.731599
-2.987815 -3.138672
-3.069531 -3.437693
-3.640338 -4.05813
-3.688213 -4.210089
-4.336411 -4.57751
-3.969421 -4.423127
-4.199906 -4.556956
-3.896093 -4.344864
-4.152524 -4.56897
-3.855137 -4.758698
-4.767484 -4.872438
-4.324014 -4.574961
-3.852964 -4.159581
-3.816205 -3.957588
-4.242082 -4.687577
-4.979641 -5.413678
-4.713544 -5.050062
-4.473316 -4.752804
-4.786538 -5.342239
-4.200894 -4.640123
-4.071763 -4.716164
-3.740381 -4.637201
-3.901056 -4.641399
-3.910283 -4.582238
-4.212259 -4.771307
-4.241138 -4.674567
-4.122428 -4.854831
-4.147747 -4.716542
-3.448229 -4.068869
-3.71704 -4.068366
-3.315148 -3.476981
-2.985891 -3.321209
-3.142567 -3.270442
-2.574008 -3.257265
-2.282375 -3.054452
-1.949425 -2.340701
-1.647925 -2.450241
-1.865207 -2.502672
-1.568231 -2.1965
-2.044117 -2.554928
-1.792613 -2.194982
-1.626642 -1.871083
-1.551689 -1.903173
-1.129661 -1.424829
-0.4682371 -1.273969
-1.129981 -1.259776
-0.8838367 -1.419307
-1.056537 -1.946002
-1.336263 -1.805225
-1.195249 -1.527735
-1.239056 -1.601662
-0.8164758 -1.163028
-0.7323331 -1.014555
-0.8899243 -1.381554
-0.4477014 -1.044284
-0.6224708 -0.9483889
-0.4147347 -1.017452
0.1190525 -0.1422948
0.7236791 0.05744997
0.7041081 0.254287
0.7418542 0.2578891
0.6799504 0.5912486
0.9971338 0.3372494
1.140663 0.560364
0.6859832 0.3981158
0.9883492 0.394022
1.255392 0.4999636
1.044561 0.6724681
1.284551 0.5913003
1.287464 0.8126875
1.395843 0.9815066
1.622077 0.8819877
