Taxa	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23
1	17.71317	0.5402413	-0.39175487	1.2651474	-6.7647896	5.7503734	-9.397338	-5.1365275	-6.9312863	5.4166474	5.2741623	-1.0836323	0.82456994	-2.1818027	5.910929	-0.61310834	-1.8319218	-5.731804	-8.028539	-6.84318	-4.6106586	2.1419942	0.793227
1149	21.00845	-11.03236	41.364185	9.4554825	15.804906	0.016108943	3.2819245	3.8516831	7.351823	-0.85895723	-2.083917	2.3498154	0.4228283	1.3020515	1.0564485	0.38110468	-0.1853721	1.4475538	0.084772624	-0.7754092	0.19025381	-0.42850226	0.49537057
1174	13.700487	0.9929339	10.275023	-5.269557	-24.091372	-10.405413	17.544197	-1.7726923	-16.349237	-13.858671	-4.3605013	-6.6643877	-2.502464	-0.3430491	-5.134262	2.400678	4.27461	2.9092784	-2.251068	-11.827645	14.148291	-2.3547494	-5.6568103
1258	12.190026	-4.0800834	-4.3623743	-1.9977294	4.0534606	0.78328395	-0.2682811	-0.45904735	-0.39309716	-0.2965217	-2.9103734	1.861542	-2.70748	-0.39167583	5.5382886	-1.6341604	2.7493157	0.21555375	0.5591907	-0.33758804	2.599246	0.09702882	0.72191286
26	16.750057	-2.7212472	-0.78741926	-0.7297866	-3.779217	4.6275516	-8.0173855	0.06024738	3.94071	0.31953043	-2.8346338	-6.5479097	-2.6659193	-1.8328577	8.707924	-1.9909936	-3.6283505	-0.70504177	-3.564621	1.3875058	-1.5708721	3.1586847	-3.8572712
49	12.076081	1.2377853	8.758518	-5.5782843	-25.398146	-10.822112	17.896177	-2.172809	-16.937447	-13.865643	-4.217523	-6.860436	-2.6076047	-0.40832335	-5.113363	3.012937	4.837142	3.2536755	-2.147289	-12.037756	15.088586	-2.5544484	-5.6444626
496	-33.288223	39.962395	9.674096	-11.922701	9.579014	-2.0053623	-1.1408129	-1.5948086	0.9795445	3.0801141	-0.17186044	-2.3521485	-0.25282484	-0.119494736	-0.0067830575	0.40385512	1.8134693	-2.2276669	2.6365564	-0.46632022	7.831047	0.69051903	4.6240063
743	3.207889	1.2901609	-9.995135	16.393726	-1.0856457	-0.55867815	-2.4559515	-5.8681655	1.6980262	5.590224	-8.9651375	-9.84346	7.7409744	16.384237	-1.2877278	3.2927668	2.6042268	0.1276885	0.4419526	-0.7485779	-1.564076	1.6842932	-2.1303396
942	4.1141973	5.1237793	-6.495393	11.587341	-1.0958321	5.4609447	-10.421986	-0.5778415	-3.7507944	-13.776674	3.5944958	8.646563	-0.9305025	16.718668	-13.138113	-13.024761	-2.5593069	3.6936297	-8.221215	3.1666884	0.86282086	-1.6538488	-0.07864856
1060a	11.998982	-1.0480369	-2.5566862	0.14188915	-6.3053627	0.78334594	-3.793591	1.4742491	3.010751	-1.5429574	-2.5981402	2.074964	-1.1863381	-3.2797515	8.225638	2.7476428	-0.4380879	-2.111711	-0.339568	6.5955143	6.127736	2.0105975	-0.63452363
