factor(envID)3 factor(envID)5
-0.2734293 -0.8156941
0.1054853 -0.3061917
0.256069 -0.1384703
0.4342979 -0.1526499
0.5276756 0.1008767
-0.2014767 -0.2907126
0.04442223 -0.7960628
0.5796839 -0.05232787
0.6770557 0.09029853
0.2191935 -0.206227
0.1325437 -0.3727942
0.3144958 -0.282973
-0.2466754 -0.8188238
-0.4950157 -0.8487114
-0.09378826 -0.400978
0.0311063 -0.576226
-0.04695272 -0.5363734
0.06940623 -0.5493216
-0.2621463 -0.876544
-0.2801782 -0.5337163
0.05560813 -0.3384733
0.3458388 -0.2132842
0.51164 0.1938395
0.5275393 0.2043178
0.7708485 0.1547407
0.9187688 0.3382835
0.5839221 0.3982318
0.4844086 0.04621669
0.9897895 0.3489042
0.6384232 0.03274716
0.389327 0.1459347
0.7647518 0.2873244
0.881561 0.3568063
0.4641794 0.004307798
0.3332633 0.143932
0.4022437 0.1499471
0.677907 0.06526546
0.7186822 0.1335686
0.3005521 -0.1228744
0.04967482 -0.4949073
0.2047236 -0.5075894
-0.4949772 -0.6774122
-0.7249355 -1.205581
-0.6004282 -1.106042
-0.4613548 -0.8788573
-0.6991263 -1.149072
-0.9403522 -1.389755
-0.8887027 -1.529673
-0.9024026 -1.337038
-0.6279233 -0.9859873
-0.4249486 -1.049222
-0.4556912 -0.934286
-0.2396127 -0.7504101
-0.1178799 -0.3800682
0.3638731 -0.1897974
0.41627 -0.3802359
0.7490061 0.3536454
0.4848866 0.429516
0.3353475 0.2575102
0.8307175 0.2885401
0.3723846 -0.2780098
0.7832233 0.3009907
0.8800748 0.3347004
0.7493387 -0.05218547
0.7862504 0.2059835
0.5644412 0.1574331
0.7317199 0.3995359
1.147099 0.60308
1.199158 0.8575858
1.156803 0.4076998
1.410537 0.7354929
1.301283 0.7441799
1.081966 0.7114831
0.8419149 0.1633395
0.4127884 0.4260013
0.0381026 -0.1426812
-0.07104976 -0.4921964
-0.04741689 -0.5404105
0.2321266 -0.2255916
0.1687507 -0.1987191
0.007602096 -0.2999574
0.146633 -0.4936139
0.6113542 -0.1562892
0.6732439 -0.131315
0.4016495 -0.1237695
0.5228032 0.2485668
0.5070042 0.4278066
0.2667843 -0.004449871
-0.9404071 -1.069509
-0.5411837 -0.6720943
-0.6327216 -0.9855975
-0.01742566 -0.801026
-0.1363895 -0.6872161
-0.5137114 -1.054102
-0.4353682 -0.9534034
-0.3602363 -0.7159651
-0.06218831 -0.6011801
-0.2040302 -0.6215639
0.1429356 -0.4254763
-0.8078153 -1.214804
-0.8590019 -1.302598
-0.9496896 -1.727377
-1.484669 -1.772445
-1.130972 -1.578936
-0.5103918 -0.8658292
-0.6465403 -1.027891
-0.3098888 -0.8188504
-0.6976412 -0.8940632
-0.4442883 -0.7643146
-0.4470096 -0.8867251
-0.556169 -1.016618
-0.303341 -0.6881076
-0.4056569 -0.5473563
-0.05709834 -0.5935394
0.1584123 -0.4685544
0.565154 0.08470706
0.3558731 -0.147231
0.5066977 0.1961651
0.2984193 -0.2079224
0.702184 0.2901916
0.9901089 0.5564901
0.7994402 0.1677916
0.5032179 0.09174682
0.3318398 -0.4688872
0.285438 -0.5374272
0.337406 -0.2355032
0.2993491 -0.1982897
0.3035435 -0.4951285
-0.3272665 -0.6511231
-0.2753027 -0.8841305
-0.05006338 -0.5638158
-0.1462992 -0.2789499
-0.230192 -0.9605181
-0.09168368 -0.7684042
-0.2795367 -0.4848064
-0.1940881 -0.517855
-0.3270277 -0.8502493
0.1255485 -0.6102555
-0.1002085 -0.5018586
-0.6351903 -1.088202
-0.5759962 -1.193677
-1.351479 -1.614549
-1.006483 -1.384932
-1.12047 -1.383808
-1.437638 -1.560521
-1.558605 -2.030414
-1.709562 -1.941078
-1.73233 -2.171205
-1.498709 -1.700514
-1.287068 -1.437317
-0.8561849 -1.283169
-0.9596887 -1.617886
-0.9915885 -1.70618
-1.129136 -1.821889
-1.26584 -1.650058
-0.9467119 -1.077191
-0.8598726 -1.309579
-1.057841 -1.606728
-1.231574 -1.550733
-1.382546 -1.723041
-0.9811468 -1.588772
-0.5860352 -0.9303111
-0.6136978 -0.9249422
-0.7531323 -0.8106866
-0.8126031 -1.333487
-1.339603 -1.823582
-1.35907 -1.534872
-1.215199 -1.475081
-1.190839 -1.558305
-0.9828135 -1.541415
-1.353571 -1.785562
-1.379893 -1.414657
-1.661029 -2.016278
-1.27083 -2.011081
-1.770089 -2.113117
-2.089322 -2.537653
-1.893204 -2.251288
-1.520781 -1.785388
-0.9818904 -1.469309
-0.7206575 -1.55238
-0.9755301 -1.638797
-1.334396 -1.856432
-1.750871 -2.16814
-1.301084 -1.608195
-1.869049 -1.775435
-1.777473 -2.291156
-1.989818 -2.683907
-2.068577 -2.420427
-2.124809 -2.031506
-1.982444 -2.375763
-2.101747 -2.5193
-1.911349 -2.276047
-2.210407 -2.757657
-1.881515 -2.320055
-2.065083 -2.584034
-1.732291 -1.872819
-1.923477 -2.224231
-1.588891 -2.310941
-1.799289 -2.079332
-1.826394 -2.486027
-1.945253 -2.119861
-1.920471 -2.467133
-1.957005 -2.251141
-2.157232 -2.808775
-2.189148 -2.768153
-1.748538 -2.12624
-1.749749 -2.392057
-1.857345 -2.141419
-1.263096 -1.779942
-1.5905 -2.165926
-2.069861 -2.560319
-2.089235 -2.531228
-1.665591 -2.160937
-1.912215 -2.307197
-1.681242 -2.220871
-2.021727 -2.533626
-2.75487 -3.088797
-2.326977 -2.811947
-2.533921 -3.068419
-3.053103 -3.588124
-3.226489 -3.725748
-3.342803 -4.21244
-3.442954 -4.057734
-4.132264 -4.574194
-3.845026 -4.524295
-4.324901 -4.588998
-4.479624 -4.949598
-4.24197 -4.771649
-4.360315 -4.809916
-4.598244 -5.101551
-5.05519 -5.568548
-5.682474 -5.865982
-5.266424 -5.736068
-5.036775 -5.663521
-5.061435 -5.435556
-5.760466 -5.917568
-5.837847 -6.296584
-6.141637 -6.387163
-6.412181 -6.756522
-6.574453 -7.176315
-6.757785 -7.50166
-6.99738 -7.287732
-7.421219 -7.89172
-7.744943 -8.10514
-7.780634 -8.168389
-7.20409 -7.86341
-7.368733 -7.81102
-7.350906 -7.791873
-7.474904 -8.079847
-6.856996 -7.320757
-6.720887 -7.222844
-6.494086 -7.009732
-6.217345 -6.780773
-6.380502 -6.728417
-6.385289 -6.872588
-6.413006 -6.888763
-6.704306 -6.722189
-6.719121 -7.348747
-6.776356 -7.359106
-7.128286 -7.525291
-7.066828 -7.838941
-7.414838 -7.614064
-7.229519 -7.616306
-7.024508 -7.626878
-6.952537 -7.265838
-6.533814 -7.098441
