factor(envID)8 factor(envID)18
10.14287 -8.703319
10.87409 -8.209139
11.19216 -8.046598
11.16321 -7.841996
11.08847 -8.116519
11.52549 -7.551374
11.59488 -7.728497
11.67204 -7.456612
11.43376 -7.4018
11.36008 -7.67142
11.60632 -7.155945
11.69495 -7.566959
11.73522 -7.409124
11.98553 -7.291801
12.09895 -7.178814
11.89346 -7.12793
12.12947 -7.041038
11.63772 -7.505679
11.80199 -7.461503
11.3661 -7.91456
10.93617 -8.243393
11.17929 -8.047714
11.17821 -7.966542
11.27463 -7.774461
11.31208 -7.866346
11.03048 -8.105191
11.11532 -8.218323
11.03278 -8.38784
11.04153 -8.442849
11.21649 -8.182659
10.9425 -8.251919
10.88807 -8.273945
11.10566 -8.224582
10.76458 -8.178875
10.6642 -8.335067
11.36713 -8.013557
11.11035 -8.013142
10.87625 -8.273167
10.71038 -8.297206
10.99979 -8.132576
10.84306 -8.265785
10.72368 -8.358887
10.93164 -8.210573
10.95234 -8.131035
10.92394 -8.185668
11.11115 -8.143436
10.9338 -7.966224
10.69469 -8.637705
10.48759 -8.285108
10.81146 -8.539354
10.63851 -8.485916
10.93571 -8.462722
10.68765 -8.483116
10.72714 -8.318894
10.93193 -8.13724
10.9427 -8.058618
10.6736 -8.117895
10.53535 -8.208583
10.70533 -8.145552
10.70328 -8.076752
10.89956 -7.984337
10.86708 -8.053911
11.16928 -7.928476
11.26232 -7.848436
11.30411 -7.914304
11.51274 -7.759917
11.27989 -7.865415
11.36492 -7.989191
11.58065 -7.754209
11.35988 -7.893741
11.4384 -7.527407
11.44455 -7.572268
11.46549 -7.657911
11.57622 -7.637335
11.24799 -7.681704
11.57749 -7.569821
11.48466 -7.599818
11.31354 -7.84892
10.99365 -8.154474
10.92827 -8.258485
11.34491 -8.20925
10.85049 -8.335692
10.73136 -8.308718
11.0342 -8.24698
10.74062 -8.165161
11.10791 -8.136505
11.16592 -8.018459
10.97971 -8.166028
10.76249 -8.287682
10.82356 -8.156338
11.38343 -8.086824
11.18315 -8.054319
11.52101 -8.01078
11.38158 -8.154996
10.92157 -8.269174
10.95118 -7.89397
10.97678 -8.088277
10.86567 -8.453252
10.68742 -8.560354
10.71414 -8.469887
10.78533 -8.600347
10.80147 -8.745646
10.34359 -8.845491
10.90797 -8.621952
10.97533 -8.436397
11.26856 -8.066421
11.44798 -7.96608
11.15771 -7.823919
10.85746 -8.184158
11.04365 -8.269449
11.14278 -7.89035
10.98502 -8.200963
10.87112 -8.481123
10.58486 -8.483428
10.54272 -8.437584
10.62892 -8.496951
10.81667 -8.415103
10.82435 -8.410326
10.56709 -8.367063
10.45062 -8.625991
10.46066 -8.580402
10.48505 -8.632239
10.46139 -8.555748
10.58751 -8.504381
10.37995 -8.706281
10.18763 -8.652368
10.08631 -8.814155
10.09147 -8.660229
10.11353 -8.764099
10.05974 -8.544147
